name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Yamato 983606,40228,Valid,H4,86.63,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
LaPaz Icefield 02209,12476,Valid,LL5,1563.1,Found,2002.0,-86.36667,-70.0,"(-86.36667, -70.0)"
Cumulus Hills 04006,32492,Valid,LL5,185.4,Found,2003.0,,,
Yamato 983723,40345,Valid,H4,127.1,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
Grove Mountains 054544,50639,Valid,L5,0.51,Found,2006.0,-72.99889,75.18722,"(-72.99889, 75.18722)"
Queen Alexandra Range 97504,20960,Valid,LL5,15.5,Found,1997.0,-84.0,168.0,"(-84.0, 168.0)"
Lahmada 017,12430,Valid,H5,85.0,Found,1998.0,27.2265,-9.74117,"(27.2265, -9.74117)"
Northwest Africa 309,17708,Valid,L5,308.0,Found,2001.0,,,
Frontier Mountain 90064,10462,Valid,H6,3.5,Found,1990.0,-72.95457,160.50374,"(-72.95457, 160.50374)"
Shişr 036,23571,Valid,H3,10175.0,Found,2002.0,18.50755,53.99325,"(18.50755, 53.99325)"
Lewis Cliff 86423,13353,Valid,H5,11.1,Found,1986.0,-84.25499,161.40492,"(-84.25499, 161.40492)"
Lewis Cliff 86362,13293,Valid,H5,5.9,Found,1986.0,-84.27385,161.68603,"(-84.27385, 161.68603)"
Yamato 790688,26037,Valid,LL,3.19,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Grove Mountains 021919,47881,Valid,H5,0.56,Found,2003.0,-72.7775,75.334167,"(-72.7775, 75.334167)"
Jodzie,12173,Valid,Howardite,30.0,Fell,1877.0,55.7,24.4,"(55.7, 24.4)"
Yamato 983185,39807,Valid,H4,11.09,Found,1998.0,0.0,0.0,"(0.0, 0.0)"
Queen Alexandra Range 93420,19508,Valid,H5,11.9,Found,1993.0,-84.0,168.0,"(-84.0, 168.0)"
Yamato 790006,25355,Valid,Eucrite-pmict,29.42,Found,1979.0,-71.5,35.66667,"(-71.5, 35.66667)"
Allan Hills A80123,1950,Valid,H5,27.8,Found,1980.0,-76.68944,159.36889,"(-76.68944, 159.36889)"
